,Account,avg(Kwh),avg(Power_Factor),avg(KVRAh),Catergroy,Building,Day,Month,Year,TemperatureF,PointF,Humidity,PressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,workingDay,Holiday
36,27369330017,149.9083656,0.815599677,69.53652396,SCH,LILLA FREDRICK,5,2,2014,29,26,89,29.94,3,11,1.11,8,Fog-Snow,55,1,0
37,27369330017,169.2886284,0.845543589,71.31182035,SCH,LILLA FREDRICK,6,2,2014,24,11,64,30.18,10,8,T,5,Snow,299,1,0
38,27369330017,170.9723848,0.870788617,69.42036958,SCH,LILLA FREDRICK,7,2,2014,25,8,50,30.21,10,11,0,3,,259,1,0
39,27369330017,135.2998414,0.852854863,50.24014416,SCH,LILLA FREDRICK,8,2,2014,24,2,41,30.22,10,10,0,5,,274,0,0
40,27369330017,131.0608815,0.867236585,44.02978388,SCH,LILLA FREDRICK,9,2,2014,26,18,61,30.06,8,8,0.03,8,Snow,90,0,0
41,27369330017,173.9853811,0.859680517,69.97275923,SCH,LILLA FREDRICK,10,2,2014,25,12,64,30.03,9,12,T,3,Snow,288,1,0
42,27369330017,171.7136498,0.848915027,68.60318863,SCH,LILLA FREDRICK,11,2,2014,20,2,48,30.3,10,10,0,0,,305,1,0
43,27369330017,172.1727707,0.862655107,68.42313302,SCH,LILLA FREDRICK,12,2,2014,16,1,51,30.5,10,8,0,3,,93,1,0
44,27369330017,169.7167783,0.859523327,67.46013167,SCH,LILLA FREDRICK,13,2,2014,29,29,82,29.88,4,20,1,8,Fog-Rain-Snow,68,1,0
45,27369330017,166.2824965,0.865478303,67.83817826,SCH,LILLA FREDRICK,14,2,2014,33,26,74,29.1,6,18,0.31,6,Rain-Snow,298,1,0
46,27369330017,130.4862468,0.846395066,48.94955221,SCH,LILLA FREDRICK,15,2,2014,31,25,77,29.72,4,10,0.33,7,Fog-Snow,34,0,0
47,27369330017,128.1864046,0.867630918,43.26841873,SCH,LILLA FREDRICK,16,2,2014,28,12,61,29.72,9,17,0.02,6,Snow,294,0,0
48,27369330017,127.7689238,0.82242032,43.96047122,SCH,LILLA FREDRICK,17,2,2014,22,-3,37,30.22,10,15,0,1,,319,1,1
49,27369330017,153.5235639,0.86104432,53.98186989,SCH,LILLA FREDRICK,18,2,2014,25,20,63,30.07,6,11,0.22,7,Rain-Snow,1,1,0
50,27369330017,153.0621852,0.855577949,53.56067497,SCH,LILLA FREDRICK,19,2,2014,29,27,82,29.88,5,8,0.25,7,Fog-Rain-Snow,345,1,0
